channel_id	channel_number	slug	name	description	status
general	1	general	Archipiélago Vivo TV	Canal general con una selección transversal de iniciativas, territorio, memoria, conflictos y alternativas de Canarias.	Activo
fuerteventura	2	fuerteventura	Fuerteventura	Canal con especial atención a Fuerteventura, su territorio, patrimonio, cultura, recursos y conflictos contemporáneos.	Activo
territorio	3	territorio	Territorio	Canal sobre territorio, vivienda, agua, mar, turismo, medio ambiente, modelo económico y conflictos insulares.	Activo
memoria	4	memoria	Memoria y saberes	Archivo audiovisual, memoria indígena, oficios, cultura popular, patrimonio y formas tradicionales de relación con el territorio.	Activo
